['S11', 1]
['S11311', 0.22037674935199258]
['S1872', 0.22032389938694974]
['S1731', 0.22032186999494008]
['S1915', 0.2194039625950161]
['S1916', 0.2188702620658331]
['S1286', 0.21763778415022594]
['S1626', 0.21725934032533878]
['S1473', 0.21716241892851293]
['S11393', 0.21653581360542085]
['S1257', 0.21586974444085802]
['S11052', 0.2146199494651634]
['S1756', 0.21312232598542907]
['S12083', 0.2127500607152926]
['S1394', 0.2123558811795259]
['S12055', 0.21221434951416587]
['S11494', 0.21221434951416582]
['S11576', 0.21126303998279256]
['S1221', 0.20860625700749783]
['S1134', 0.20800685026971671]
['S11679', 0.20796499374354924]
['S1777', 0.20748855881214504]
['S1423', 0.2062831958934478]
['S130', 0.2056506931348358]
['S11029', 0.20381077419337945]
['S11173', 0.2031285985402109]
['S11376', 0.20181477487535415]
['S1904', 0.20149419750936276]
['S11775', 0.20084912717710107]
['S11051', 0.19835117499716123]
['S11442', 0.19835117499716123]
['S1116', 0.19783499920866002]
['S142', 0.19655771527607355]
['S11062', 0.19591335516680933]
['S1299', 0.19546058507883693]
['S1796', 0.19358863053718947]
['S11872', 0.1928385731100476]
['S11236', 0.1910456272936194]
['S11364', 0.19066466529396378]
['S11653', 0.19044457949924]
['S134', 0.18765213388952814]
['S1144', 0.18691569753556295]
['S11175', 0.1865725829563365]
['S11804', 0.18552890036077033]
['S1117', 0.18483071524643666]
['S1648', 0.18440853076344535]
['S1720', 0.1837830177268575]
['S126', 0.18378301772685748]
['S173', 0.18378301772685748]
['S185', 0.18378301772685748]
['S1265', 0.18378301772685748]
['S1285', 0.18378301772685748]
['S1294', 0.18378301772685748]
['S1451', 0.18378301772685748]
['S1502', 0.18378301772685748]
['S1686', 0.18378301772685748]
['S1880', 0.18378301772685748]
['S1894', 0.18378301772685748]
['S1909', 0.18378301772685748]
['S11254', 0.18378301772685748]
['S11313', 0.18378301772685748]
['S12120', 0.18378301772685748]
['S12184', 0.18378301772685748]
['S12241', 0.18378301772685748]
['S12285', 0.18378301772685748]
['S1489', 0.18352829408714863]
['S1714', 0.18266689405325323]
['S11660', 0.18266689405325318]
['S11275', 0.18251711121795175]
['S1730', 0.18174716987774472]
['S11197', 0.1799437301005525]
['S11269', 0.17870682064350804]
['S1477', 0.1784157290943044]
['S1708', 0.177848898637789]
['S1164', 0.1778320879284894]
['S11354', 0.17730517688015485]
['S1236', 0.17597732206533914]
['S1175', 0.17522613118540567]
['S11174', 0.17511303339707976]
['S11613', 0.17368703646252098]
['S1837', 0.17347523983604632]
['S12148', 0.17320585244874911]
['S11449', 0.17203598914530038]
['S12242', 0.1715809856183888]
['S11619', 0.17111900639344424]
['S11866', 0.17089454513183192]
['S11824', 0.17007989798406545]
['S1425', 0.1692738321168424]
['S1379', 0.16886207321919514]
['S11683', 0.16872994128812213]
['S12074', 0.16799918143808132]
['S1474', 0.16796667871608625]
['S1645', 0.16796548631163816]
['S11171', 0.16760111182289852]
['S11102', 0.16733275083198149]
['S12155', 0.16705005063034004]
['S1283', 0.16675129730395516]
['S1627', 0.16588698691250883]
['S11786', 0.16585380619672288]
['S1111', 0.16550888034581737]
['S11942', 0.16488104821000413]
['S11305', 0.16485603957487444]
['S11546', 0.1648009226384752]
['S117', 0.16415269654937484]
['S1373', 0.16415269654937484]
['S12127', 0.16366918240173417]
['S197', 0.1632796482509767]
['S11182', 0.16291742166503093]
['S1660', 0.16236175602757957]
['S11509', 0.1619678687619403]
['S1934', 0.16195305620817924]
['S11293', 0.16195305620817924]
['S1245', 0.16195305620817918]
['S11130', 0.16195305620817918]
['S11411', 0.1616464013323241]
['S1214', 0.16158916774257026]
['S1877', 0.16041896955823534]
['S1935', 0.16040710757738874]
['S12223', 0.15958083832335326]
['S11941', 0.15887998423585767]
['S1444', 0.15879292997730862]
['S12203', 0.15836431560807565]
['S11362', 0.15637677824127358]
['S1176', 0.15599904997407632]
['S1808', 0.15530725695098935]
['S11143', 0.15509196941912745]
['S11548', 0.1547646465068274]
['S11716', 0.1547646465068274]
['S198', 0.15476464650682734]
['S1114', 0.15476464650682734]
['S1127', 0.15476464650682734]
['S1270', 0.15476464650682734]
['S1353', 0.15476464650682734]
['S1355', 0.15476464650682734]
['S1388', 0.15476464650682734]
['S1470', 0.15476464650682734]
['S1497', 0.15476464650682734]
['S1610', 0.15476464650682734]
['S1615', 0.15476464650682734]
['S1898', 0.15476464650682734]
['S11061', 0.15476464650682734]
['S11066', 0.15476464650682734]
['S11079', 0.15476464650682734]
['S11085', 0.15476464650682734]
['S11245', 0.15476464650682734]
['S11352', 0.15476464650682734]
['S11426', 0.15476464650682734]
['S11470', 0.15476464650682734]
['S11501', 0.15476464650682734]
['S11513', 0.15476464650682734]
['S11937', 0.15476464650682734]
['S12139', 0.15476464650682734]
['S12145', 0.15476464650682734]
['S12201', 0.15476464650682734]
['S1222', 0.15400710575409982]
['S11966', 0.15400710575409982]
['S11794', 0.1538931530150389]
['S1558', 0.15234772836941599]
['S1608', 0.15220597918889692]
['S1311', 0.15172280183641326]
['S1396', 0.15068495371783508]
['S1642', 0.1506368453828258]
['S1947', 0.15047330517026025]
['S11965', 0.15047330517026025]
['S11448', 0.14997853301490488]
['S12261', 0.14939144894668002]
['S11386', 0.14926894791742595]
['S11101', 0.14911570088623302]
['S11019', 0.14850812434152444]
['S11257', 0.14845650200701552]
['S1601', 0.14826824366744815]
['S1213', 0.14751005370181983]
['S12044', 0.14723488434799142]
['S178', 0.1468226352697189]
['S11108', 0.14582280206679937]
['S11176', 0.14551499941794002]
['S1990', 0.14519929177285035]
['S1771', 0.14435344525184665]
['S12077', 0.14357292709253386]
['S1173', 0.1435327622363158]
['S11277', 0.14290893380686145]
['S11463', 0.14157191491784413]
['S1380', 0.14142198632107592]
['S11477', 0.14142198632107592]
['S11704', 0.14094863236678765]
['S1942', 0.14075176224799982]
['S12137', 0.13991046523568942]
['S11639', 0.13842570804119653]
['S1303', 0.13821150516393577]
['S1624', 0.13764622056536147]
['S11464', 0.13733999945064]
['S1167', 0.13680061921081052]
['S11514', 0.136626618931544]
['S11390', 0.13610822569483597]
['S11936', 0.13589008995284763]
['S11772', 0.13570499945717995]
['S1335', 0.13566704075135833]
['S11214', 0.13508965857535607]
['S1674', 0.13481415794413926]
['S1719', 0.13462844088502637]
['S11560', 0.1336698312382808]
['S1400', 0.1331141310307334]
['S1937', 0.13262745993205796]
['S11605', 0.13258778171220698]
['S11023', 0.1322881549426242]
['S11110', 0.1322881549426242]
['S11823', 0.1321685861009279]
['S1747', 0.1307186487744315]
['S1505', 0.12995421810158841]
['S1876', 0.12995421810158841]
['S11186', 0.12995421810158841]
['S11377', 0.12995421810158841]
['S11793', 0.12995421810158841]
['S11832', 0.12995421810158841]
['S12229', 0.12995421810158841]
['S1668', 0.12954986573431573]
['S1742', 0.12946092280138283]
['S11624', 0.12904685535521349]
['S1712', 0.12663474832928356]
['S12', 0.1263688894278771]
['S1946', 0.12601173109265798]
['S1276', 0.12574627528679724]
['S12209', 0.12574627528679724]
['S1151', 0.12574627528679722]
['S1340', 0.12574627528679722]
['S1647', 0.12574627528679722]
['S1705', 0.12574627528679722]
['S1791', 0.12574627528679722]
['S1926', 0.12574627528679722]
['S1958', 0.12574627528679722]
['S11022', 0.12574627528679722]
['S11109', 0.12574627528679722]
['S11145', 0.12574627528679722]
['S11217', 0.12574627528679722]
['S11400', 0.12574627528679722]
['S11447', 0.12574627528679722]
['S11458', 0.12574627528679722]
['S11480', 0.12574627528679722]
['S11489', 0.12574627528679722]
['S11517', 0.12574627528679722]
['S11582', 0.12574627528679722]
['S11709', 0.12574627528679722]
['S11724', 0.12574627528679722]
['S11788', 0.12574627528679722]
['S11833', 0.12574627528679722]
['S11990', 0.12574627528679722]
['S12188', 0.12574627528679722]
['S12208', 0.12574627528679722]
['S1656', 0.12544829791233436]
['S11199', 0.12541100095955157]
['S1828', 0.12504850467213233]
['S1325', 0.12487518718804586]
['S1884', 0.12430301837200124]
['S13', 0.12286093919241185]
['S1313', 0.12286093919241185]
['S11382', 0.12286093919241185]
['S1676', 0.1228609391924118]
['S12286', 0.1228609391924118]
['S11218', 0.12237572306457711]
['S11321', 0.12228578724277386]
['S1710', 0.1208211525190293]
['S11141', 0.1205470802946746]
['S1455', 0.1201759060743953]
['S1943', 0.11935499952257994]
['S1863', 0.11934150950125483]
['S1241', 0.11908862168788617]
['S1215', 0.11894176210513749]
['S1572', 0.11870907597842544]
['S1925', 0.11854296648439935]
['S11634', 0.11822902549091877]
['S1302', 0.11773104630806136]
['S176', 0.11767165626958369]
['S11005', 0.11725418788901164]
['S11339', 0.11503728738057663]
['S11250', 0.1150028986982076]
['S1961', 0.11468937798357959]
['S11637', 0.11451810427868961]
['S12009', 0.11451810427868961]
['S1847', 0.11391969629083724]
['S11998', 0.11390701453307384]
['S1783', 0.11340477217322167]
['S11870', 0.1131918550128534]
['S11282', 0.11315248093262685]
['S11554', 0.11282499143193987]
['S1305', 0.11141182846978527]
['S11129', 0.11138943693940044]
['S1811', 0.11136390931238163]
['S1855', 0.11133665683337715]
['S1522', 0.11104792524821605]
['S11140', 0.11082532957076753]
['S11189', 0.11019276250354859]
['S1399', 0.11011697645228917]
['S1154', 0.10989016472548042]
['S11663', 0.10966225884656929]
['S1171', 0.10943513103291655]
['S11423', 0.10943513103291655]
['S12078', 0.10943513103291655]
['S12099', 0.10943513103291655]
['S12109', 0.10943513103291655]
['S12179', 0.10943513103291655]
['S12318', 0.10943513103291655]
['S1658', 0.10929430957614712]
['S11184', 0.10917834116545605]
['S1395', 0.10902549511823795]
['S12170', 0.10892735614114363]
['S11895', 0.1074385271407675]
['S11578', 0.10674406498840054]
['S1191', 0.10610717475708296]
['S1428', 0.10610717475708296]
['S1554', 0.10610717475708296]
['S1763', 0.10610717475708296]
['S11295', 0.10610717475708296]
['S1347', 0.10610717475708294]
['S11344', 0.10610717475708294]
['S11485', 0.10610717475708294]
['S11862', 0.10610717475708294]
['S1190', 0.10610717475708291]
['S1841', 0.10610717475708291]
['S11076', 0.10610717475708288]
['S1529', 0.10610717475708284]
['S11840', 0.10610717475708284]
['S1858', 0.10593921974212334]
['S11172', 0.10572999957708007]
['S11850', 0.1048940308349127]
['S11272', 0.10484216243433304]
['S1402', 0.10483026693961227]
['S12113', 0.10411078514968182]
['S1538', 0.1037031984185687]
['S11891', 0.10346561918684967]
['S11278', 0.10342801984675701]
['S11389', 0.10342636302350604]
['S11585', 0.10317643100455154]
['S11797', 0.10289464285278184]
['S11406', 0.10236719160047161]
['S11440', 0.10183104782921162]
['S1995', 0.10148721323643435]
['S1322', 0.10114975110981929]
['S1590', 0.1010500463491964]
['S16', 0.10098558896214185]
['S1989', 0.1007502871927948]
['S11243', 0.1001322061600862]
['S12085', 0.10000044553650393]
['S12067', 0.09960455289290293]
['S11067', 0.09934518415215751]
['S1104', 0.09851803849764029]
['S1842', 0.09833238518045576]
['S124', 0.0982575338328136]
['S11620', 0.09815113308788398]
['S1775', 0.09790959567342246]
['S12247', 0.09762843466866197]
['S1689', 0.09740264600667574]
['S11949', 0.09692591431302938]
['S1938', 0.09528806890870087]
['S11139', 0.09490514226291485]
['S1475', 0.09478119727550581]
['S11383', 0.09411802801339371]
['S12021', 0.09398790972115333]
['S1240', 0.09378298653033718]
['S12305', 0.09364568619185766]
['S11435', 0.09332177689657031]
['S1198', 0.09240989641748894]
['S11002', 0.0921519344544488]
['S1691', 0.09189150886342874]
['S1772', 0.09189150886342874]
['S12051', 0.09189150886342874]
['S1760', 0.09138427812791727]
['S12226', 0.09131207826622302]
['S1764', 0.09084187090203517]
['S1179', 0.09061208199844636]
['S11276', 0.09044373076426833]
['S1922', 0.08983539205795257]
['S1427', 0.08970797639769736]
['S1239', 0.08935341032175409]
['S1263', 0.08935341032175409]
['S11231', 0.08935341032175409]
['S11284', 0.08935341032175408]
['S11242', 0.08935341032175406]
['S11733', 0.08935341032175406]
['S11296', 0.08935341032175402]
['S1860', 0.08897806882210428]
['S12046', 0.0889160439642447]
['S12154', 0.0889160439642447]
['S11565', 0.08871093170959767]
['S11871', 0.0883000916626067]
['S12316', 0.08811431638188118]
['S1891', 0.08741263103163209]
['S1352', 0.08717593969139562]
['S1738', 0.08687580324590247]
['S1979', 0.08687580324590247]
['S11800', 0.08676818381579436]
['S12069', 0.08668962049360386]
['S12159', 0.08667539743516708]
['S11441', 0.08577795230320737]
['S11345', 0.0857476285357915]
['S11826', 0.08570603249335448]
['S11474', 0.08501999965991998]
['S140', 0.08455207959830718]
['S11628', 0.08455207959830718]
['S11216', 0.08408733595753025]
['S1238', 0.08264330334527277]
['S1620', 0.08219026414946043]
['S1453', 0.08214421471624887]
['S11902', 0.08183459120086709]
['S1982', 0.08171352999990103]
['S1197', 0.08156813070539944]
['S11899', 0.08132677688189008]
['S1822', 0.08104390027913937]
['S11240', 0.08042758791058495]
['S11971', 0.07988725115005922]
['S11505', 0.07950589280737103]
['S11898', 0.079505892807371]
['S1135', 0.07910040459496943]
['S1318', 0.07887970084313198]
['S11623', 0.0785821207438359]
['S1250', 0.07799526038109246]
['S11629', 0.07748051184448794]
['S11193', 0.07738232325341367]
['S12025', 0.07728320728097567]
['S1650', 0.07647012253631195]
['S1622', 0.07647012253631193]
['S11353', 0.07573361687745918]
['S1611', 0.07555673665749095]
['S110', 0.07542877941388258]
['S1911', 0.07538898875869111]
['S11014', 0.07532586664648307]
['S119', 0.0753184226914129]
['S1735', 0.0750291028032794]
['S111', 0.07487195507852844]
['S11803', 0.07443321028695621]
['S1787', 0.073741369184531]
['S1359', 0.07353198357468418]
['S11234', 0.07307767582410223]
['S1744', 0.07279764528834087]
['S11471', 0.07279764528834086]
['S1856', 0.0725996458864252]
['S1970', 0.0725996458864252]
['S11825', 0.0725996458864252]
['S139', 0.07259964588642515]
['S1424', 0.07259964588642515]
['S11553', 0.07259964588642515]
['S1770', 0.07259964588642509]
['S11418', 0.07259964588642505]
['S1825', 0.07174154416253671]
['S1378', 0.07130057398253481]
['S11136', 0.07124895273211511]
['S1896', 0.07113775837001546]
['S1524', 0.07097887658475908]
['S11103', 0.0708658143850803]
['S11948', 0.07036001991853087]
['S11013', 0.07011635869127913]
['S1539', 0.07011635869127911]
['S12255', 0.06992434997158857]
['S12030', 0.069655605202918]
['S11279', 0.06964409092807228]
['S11567', 0.06921285402059826]
['S11322', 0.06891824829241514]
['S11222', 0.06839695689557285]
['S12172', 0.06839695689557285]
['S12268', 0.06740707897206963]
['S12217', 0.0672937078319545]
['S11018', 0.06729370783195449]
['S143', 0.06697520546759993]
['S1834', 0.06660034439875943]
['S11468', 0.06620654467359308]
['S12291', 0.06611705833238712]
['S11056', 0.06588046797635645]
['S1968', 0.06559001753499735]
['S11246', 0.0654340533724381]
['S11633', 0.06497710905079421]
['S12152', 0.06458249974166999]
['S1868', 0.0644746813748305]
['S1260', 0.06441591437803647]
['S11626', 0.06369328447887276]
['S1393', 0.0636681281630807]
['S11149', 0.06356960693708272]
['S149', 0.06316216909970243]
['S11301', 0.06294968553912852]
['S150', 0.06270550047977586]
['S1773', 0.0625507112965094]
['S12276', 0.06218429602399732]
['S1376', 0.06131249975475001]
['S12058', 0.06108241880872418]
['S1549', 0.06049499975802002]
['S1835', 0.06032352362170648]
['S11819', 0.06030253758417342]
['S12224', 0.05994008985026203]
['S1370', 0.05992369417576377]
['S12068', 0.05967749976128996]
['S11504', 0.05923350221311532]
['S11244', 0.05910172562671829]
['S11827', 0.05910172562671829]
['S12112', 0.05910172562671829]
['S1846', 0.05895295374114087]
['S11415', 0.05870462106964099]
['S1700', 0.05862950316162426]
['S12013', 0.05824184778282034]
['S11905', 0.058129824685020426]
['S12080', 0.058040406260173094]
['S1375', 0.05754377981691571]
['S11000', 0.05738128972334541]
['S120', 0.05722882420469186]
['S11622', 0.05717408885736862]
['S11770', 0.05607288987661455]
['S11271', 0.05584588145109631]
['S11664', 0.05584588145109631]
['S11180', 0.055845881451096285]
['S12190', 0.055547738259920966]
['S12298', 0.05496269516184139]
['S11270', 0.05494508236274019]
['S1736', 0.05489288658575919]
['S11636', 0.05335054940641747]
['S11286', 0.053314116603566365]
['S1499', 0.053258167433372854]
['S11618', 0.051892111104973736]
['S11007', 0.051576360230258446]
['S11748', 0.05147570863779875]
['S12096', 0.051424965942877716]
['S1852', 0.05133570191803328]
['S12097', 0.05133570191803328]
['S1542', 0.05127333895305395]
['S11021', 0.05108077714880654]
['S1511', 0.0509066398820017]
['S132', 0.0501150783247524]
['S11063', 0.05009354624621503]
['S11434', 0.04936125184426278]
['S11795', 0.049049999803799975]
['S1753', 0.04903675915035218]
['S1780', 0.04836395203338355]
['S11001', 0.04825831531744732]
['S1153', 0.0479691376571156]
['S11695', 0.0479691376571156]
['S1361', 0.047527624671647534]
['S1584', 0.047527624671647534]
['S12072', 0.04691829615021614]
['S11137', 0.04659749981360998]
['S11555', 0.04632499981470002]
['S1966', 0.046203819259577006]
['S1231', 0.04614694206100875]
['S1142', 0.04612292595630595]
['S11615', 0.04605682384623238]
['S1713', 0.0459251067645084]
['S1404', 0.04575285723678555]
['S1147', 0.04536940856494532]
['S1562', 0.04536940856494532]
['S12169', 0.04536940856494532]
['S1910', 0.04495506738769653]
['S11635', 0.044697232019373735]
['S1287', 0.04457399995569341]
['S1866', 0.044491926267938485]
['S1629', 0.04445802198212235]
['S1778', 0.04445802198212235]
['S11453', 0.04412256613977619]
['S1570', 0.04374684062003981]
['S1108', 0.04179123097047926]
['S11361', 0.04140411803017933]
['S12061', 0.0413145286008087]
['S1974', 0.041214633047938355]
['S1845', 0.041038174137343716]
['S1851', 0.04103817413734371]
['S11041', 0.04103817413734371]
['S12101', 0.040529164944245306]
['S11843', 0.039967673515543416]
['S1638', 0.03959214569736317]
['S12243', 0.03948900147541023]
['S1540', 0.039489001475410214]
['S11719', 0.039182671033361864]
['S1363', 0.038932230386586525]
['S11661', 0.038932230386586525]
['S11666', 0.038858786517238834]
['S1528', 0.03799396647431887]
['S17', 0.03788231778605136]
['S11778', 0.03776981132347712]
['S11232', 0.03761963255248498]
['S11207', 0.037604999849580004]
['S11996', 0.03749029592782405]
['S11528', 0.037306282795918314]
['S11016', 0.03712042518950072]
['S11490', 0.03712042518950072]
['S11869', 0.03707902989226074]
['S1848', 0.037078314653891935]
['S11417', 0.037043966971990944]
['S1107', 0.036909783985741094]
['S1435', 0.03670565881742972]
['S11300', 0.036690500584771184]
['S11855', 0.036559711285882715]
['S12180', 0.03645026265071778]
['S11529', 0.035969999856120004]
['S1755', 0.03554010132786919]
['S11015', 0.03554010132786919]
['S12094', 0.0351762563667035]
['S1798', 0.03463933609576007]
['S1345', 0.03385476642336848]
['S1161', 0.033772414643839024]
['S1413', 0.033772414643839024]
['S11559', 0.03355403483179048]
['S1348', 0.033507528870657784]
['S127', 0.03350752887065777]
['S1867', 0.03350752887065777]
['S1902', 0.03350752887065777]
['S12100', 0.03350752887065777]
['S1666', 0.03350752887065776]
['S1506', 0.032995933501778416]
['S11028', 0.03296536755403984]
['S11586', 0.03250707783227181]
['S1315', 0.03246754866889198]
['S1333', 0.032467548668891955]
['S11771', 0.032467548668891934]
['S1803', 0.0324675486688919]
['S1723', 0.03211745146525102]
['S11845', 0.03202579272871944]
['S1356', 0.031661638728599076]
['S11911', 0.031661638728599076]
['S11641', 0.0312711199637915]
['S11412', 0.031215228730619222]
['S1800', 0.03077863060300778]
['S1246', 0.030635858878044576]
['S11142', 0.0305880490145248]
['S12204', 0.0305880490145248]
['S11094', 0.029798154679582495]
['S11264', 0.02942999988228]
['S11089', 0.02924776902870618]
['S11777', 0.029164560413359877]
['S131', 0.029018371220030134]
['S11413', 0.029018371220030134]
['S114', 0.029018371220030127]
['S115', 0.029018371220030127]
['S146', 0.029018371220030127]
['S153', 0.029018371220030127]
['S1189', 0.029018371220030127]
['S1234', 0.029018371220030127]
['S1268', 0.029018371220030127]
['S1284', 0.029018371220030127]
['S1320', 0.029018371220030127]
['S1342', 0.029018371220030127]
['S1349', 0.029018371220030127]
['S1440', 0.029018371220030127]
['S1675', 0.029018371220030127]
['S1696', 0.029018371220030127]
['S1703', 0.029018371220030127]
['S1716', 0.029018371220030127]
['S1826', 0.029018371220030127]
['S1939', 0.029018371220030127]
['S1955', 0.029018371220030127]
['S1965', 0.029018371220030127]
['S1971', 0.029018371220030127]
['S1972', 0.029018371220030127]
['S1994', 0.029018371220030127]
['S11031', 0.029018371220030127]
['S11049', 0.029018371220030127]
['S11118', 0.029018371220030127]
['S11195', 0.029018371220030127]
['S11241', 0.029018371220030127]
['S11265', 0.029018371220030127]
['S11292', 0.029018371220030127]
['S11312', 0.029018371220030127]
['S11325', 0.029018371220030127]
['S11431', 0.029018371220030127]
['S11717', 0.029018371220030127]
['S11754', 0.029018371220030127]
['S11848', 0.029018371220030127]
['S11933', 0.029018371220030127]
['S11959', 0.029018371220030127]
['S12026', 0.029018371220030127]
['S12076', 0.029018371220030127]
['S12153', 0.029018371220030127]
['S12177', 0.029018371220030127]
['S12199', 0.029018371220030127]
['S12282', 0.029018371220030127]
['S12304', 0.029018371220030127]
['S1759', 0.02872954528430721]
['S1621', 0.028698725595493458]
['S12014', 0.028590195737777702]
['S11767', 0.028443693103237844]
['S1216', 0.027529244113072292]
['S11836', 0.027529244113072292]
['S11580', 0.027440086898119217]
['S11437', 0.026722821049579945]
['S1757', 0.026218833476636255]
['S11954', 0.02595482025772435]
['S12064', 0.025556620154417543]
['S1110', 0.0254334364510871]
['S11720', 0.025329310982879265]
['S167', 0.02532931098287926]
['S1521', 0.024470439211619833]
['S11262', 0.024089970701421805]
['S192', 0.023693400885246126]
['S11541', 0.023693400885246126]
['S11939', 0.023693400885246126]
['S11976', 0.023693400885246126]
['S12132', 0.023693400885246126]
['S11802', 0.023638744755045564]
['S11004', 0.023218535067639354]
['S11368', 0.02302584679785917]
['S11907', 0.022995770642466943]
['S11773', 0.02288999990843999]
['S12257', 0.022798985631857612]
['S12296', 0.022477533693848264]
['S11138', 0.02218607846339597]
['S1734', 0.02167138522151435]
['S1893', 0.02141163431016734]
['S1350', 0.021280877826886667]
['S11588', 0.021254999914980015]
['S11285', 0.020931987341286807]
['S1456', 0.020519087068671855]
['S1523', 0.020519087068671855]
['S1564', 0.020519087068671855]
['S1639', 0.020519087068671855]
['S11126', 0.020519087068671855]
['S11403', 0.020519087068671855]
['S11499', 0.020519087068671855]
['S11550', 0.020519087068671855]
['S11988', 0.020519087068671855]
['S1929', 0.020415192289351913]
['S1799', 0.020398739478924326]
['S1688', 0.019744500737705103]
['S1654', 0.01856021259475036]
['S11230', 0.01856021259475036]
['S12110', 0.017100719613422306]
['S11960', 0.017042535478430397]
['S11036', 0.016753764435328892]
['S11064', 0.016753764435328892]
['S11544', 0.016753764435328892]
['S11545', 0.016753764435328892]
['S11707', 0.016753764435328892]
['S12081', 0.016753764435328892]
['S12176', 0.016753764435328892]
['S1492', 0.01675376443532889]
['S1631', 0.01675376443532889]
['S1871', 0.01675376443532889]
['S11947', 0.01675376443532889]
['S1310', 0.016753764435328885]
['S11774', 0.016753764435328885]
['S11697', 0.01675376443532888]
['S1673', 0.016753764435328868]
['S1969', 0.016753764435328868]
['S11033', 0.016753764435328868]
['S12052', 0.016753764435328868]
['S12062', 0.016753764435328868]
['S1724', 0.01613026497207588]
['S1531', 0.01599636151360245]
['S11993', 0.01596065837016499]
['S1681', 0.015795600590164098]
['S11318', 0.015555479762785306]
['S1200', 0.01537462246885559]
['S1460', 0.015209759268162665]
['S1514', 0.014985022462565504]
['S1533', 0.01474874998533975]
['S1220', 0.01471499994114001]
['S11877', 0.014509185610015064]
['S1193', 0.014271826492711505]
['S1984', 0.013873434991386328]
['S11084', 0.013873434991386324]
['S12161', 0.01376462205653615]
['S11059', 0.01354461576344658]
['S11127', 0.01302963331824646]
['S1849', 0.012979655938367436]
['S11865', 0.012966621946853631]
['S11048', 0.012589937107825706]
['S158', 0.012373475063166906]
['S1398', 0.01226638386899842]
['S12086', 0.012092034801820705]
['S1532', 0.011846700442623063]
['S11751', 0.011846700442623063]
['S12117', 0.011846700442623063]
['S1574', 0.011846700442623051]
['S1717', 0.01168605978187988]
['S1793', 0.011612089083875617]
['S11860', 0.011399492815928813]
['S1527', 0.011082228242840284]
['S1646', 0.010967913385764815]
['S1678', 0.010952278433574207]
['S1663', 0.010515431799673628]
['S1914', 0.009794465509270753]
['S1203', 0.009782090942725807]
['S1256', 0.009176414704357448]
